attraction_name,attraction_category,attraction_level,longitude,latitude,image_url
Shen Zhen Dong Bu Hua Qiao Cheng,Theme Park,5A,,,
Tai Yuan Fen He Gong Yuan,Cheng Shi Gong Yuan,4A,117.3266404,31.7774565,
Sui Hua Jin Gui Shan Zhuang,Natural Scenery,4A,,,
He Chi Ba Ma Chang Shou Cun,Min Su Wen Hua,4A,,,
Tian Tang Zhai,Natural Scenery,5A,115.7418027,31.1124681,
Hei He Ai Hui Gu Cheng,Historical Culture,4A,,,
Da Lian Lao Hu Tan Hai Yang Gong Yuan,Theme Park,5A,121.6734492,38.8729816,
Gui Feng,Natural Scenery,5A,110.3166267,25.1946435,
Dan Xia Shan,Natural Scenery,5A,113.7017207,24.9698579,
Gong Wang Fu,Historical Architecture,5A,116.5767197,30.6397295,
Yun Gang Shi Ku,Historical Culture,5A,118.6226866,28.7674264,
Qing Dong Ling,Historical Site,5A,123.508872,41.743384,
Cha Ya Shan,Natural Scenery,5A,118.4202905,35.2505959,
An Yuan Lu Kuang Gong Ren Yun Dong Ji Nian Guan,Revolutionary Site,4A,,,
Fu Rong Zhen,Ancient Town,4A,102.6390991,29.3496596,
Lang Zhong Gu Cheng,Ancient Town,5A,118.0612005,24.4525541,
Bei Hai Gong Yuan,Cheng Shi Gong Yuan,4A,116.4389539,39.7653984,
Zi Que Jie Ti Tian,Natural Scenery,4A,,,
Jin Ci,Historical Culture,4A,118.7779978,32.0110385,
Yan Tai Shan,Natural Scenery,4A,116.6297012,34.972093,
Da Li Gu Cheng,Ancient Town,4A,113.697944,40.4294247,
Liu Ding Shan,Religious Culture,5A,114.0882874,22.355507,
Hu Lu Dao Xing Cheng Gu Cheng,Historical Culture,4A,,,
Hai Luo Gou,Natural Scenery,5A,119.3754916,41.4832544,
Xi An Cheng Qiang,Historical Architecture,5A,108.9581839,34.279927,
Wu Yi Shan,Natural Culture,5A,117.9030925,30.0142707,
Xi Bai Po,Revolutionary Site,5A,111.7994453,34.4510933,
Jiu Yi Ba Li Shi Bo Wu Guan,Revolutionary Site,4A,,,
Wu Dang Shan,Natural Culture,5A,110.9067736,32.5925827,
Bo Zhou Hua Xi Lou,Historical Architecture,4A,119.9396361,37.1773852,
Nan Shan Wen Hua Lv You Qu,Religious Culture,5A,,,
Xi Tang Gu Zhen,Ancient Town,5A,120.8842345,30.9460627,
Han Yang Ling,Historical Site,4A,108.9425919,34.4430016,
Shao Shan,Revolutionary Site,5A,92.0023686,27.7895848,
Hui Min Jie,Food Street,3A,121.2620551,38.8102387,
Huang He Lou,Historical Architecture,5A,114.2970471,30.547081,
Hong Qi Qu,Revolutionary Site,5A,114.065746,22.5602872,
Gu Gong Bo Wu Yuan,Historical Culture,5A,116.3907694,39.9172757,
Yi Chun Wu Ying Guo Jia Sen Lin Gong Yuan,Natural Scenery,4A,,,
Shang Hai Huan Le Gu,Theme Park,4A,,,
Qin Shi Huang Bing Ma Yong,Historical Site,5A,109.277673,34.3873627,
Gu Lang Yu,Historical Culture,5A,118.0624293,24.4473841,
Bai Shan Chang Bai Shan Da Xia Gu,Natural Scenery,4A,,,
Wei Fang Qing Zhou Gu Cheng,Ancient Town,5A,119.6346739,31.7226555,
Da Lian Sen Lin Dong Wu Yuan,Zoo,4A,121.6084489,38.8744233,
Fu Jian Tu Lou,Historical Architecture,5A,105.0422308,29.5716751,
Kun Ming Shi Bo Yuan,Theme Park,5A,94.6790576,40.1140829,
Shan Xi Li Shi Bo Wu Guan,Wen Bo Yuan Guan,4A,108.8595291,34.4080454,
Zhu Hai Zhang Long Hai Yang Wang Guo,Theme Park,5A,,,
Fang Chuan Feng Jing Qu,Natural Scenery,4A,120.7930733,33.0528039,
Quan Zhou Kai Yuan Si,Religious Culture,4A,113.5199194,23.168844,
Sui Zhou Yan Di Gu Li,Historical Culture,4A,113.2915422,31.8515858,
Shou Xi Hu,Natural Scenery,5A,119.4167325,32.4298628,
Yue Yang Jun Shan Dao,Natural Scenery,5A,120.8978742,30.0242985,
Yi Meng Shan,Natural Scenery,5A,105.731,27.2188,
Jia Xing Nan Hu,Revolutionary Site,5A,120.7595032,30.7665039,
Dong Fang Ming Zhu,Urban Landmark,5A,113.5595274,22.2127456,
Nan Jing Bo Wu Yuan,Wen Bo Yuan Guan,4A,118.819887,32.0422995,
Ming Huang Ling,Historical Site,4A,124.7968718,41.7081041,
Quan Zhou Qing Jing Tao Yuan,Natural Scenery,4A,,,
Jin Zhou Bi Jia Shan,Natural Scenery,4A,115.5121744,28.0806609,
Fu Xin Hai Tang Shan,Natural Culture,4A,120.1513112,35.9871881,
Xiang Hai Zi Ran Bao Hu Qu,Natural Scenery,4A,122.254487,29.4347138,
Ha Er Bin Bing Xue Da Shi Jie,Theme Park,4A,126.6283625,45.7088083,
Da Xing An Ling Mo He Bei Ji Cun,Natural Scenery,4A,122.7652777,52.9437761,
Bai Shui Yang,Natural Scenery,5A,112.2285511,26.138651,
Wang Jia Da Yuan,Historical Architecture,4A,114.3457103,30.5867305,
Fu Zhou San Shan Liang Ta,Historical Culture,4A,120.3989509,30.1991272,
Tian Zi Fang,Wen Hua Yi Shu,3A,119.4733337,36.6566887,
Cheng Du Da Xiong Mao Fan Yu Ji Di,Zoo,4A,,,
Shi Lin,Zi Ran Qi Guan,5A,106.7086936,26.5878031,
Gui Lin Li Jiang,Natural Scenery,5A,110.2976094,25.3317707,
Yu Yuan,Historical Architecture,4A,121.4879752,31.2289274,
Bai Se Qi Yi Ji Nian Guan,Revolutionary Site,4A,106.6371822,23.9050152,
Nan Xun Gu Zhen,Ancient Town,5A,120.4317932,30.8851144,
Shang Hai Ke Ji Guan,Ke Pu Jiao Yu,5A,8.7716025,3.7519985,
Huang Di Ling,Historical Culture,5A,118.4157712,29.1581784,
Ri Zhao Hai Bin Guo Jia Sen Lin Gong Yuan,Natural Scenery,4A,119.6220098,35.5423361,
Xian Tao Meng Li Shui Xiang,Natural Scenery,4A,113.0151545,30.3009267,
Xian Ning Jiu Gong Shan,Natural Scenery,4A,117.1128006,37.0405854,
Tian Men Lu Yu Gu Li,Historical Culture,4A,115.8922614,28.5354333,
Gui Lin Xiang Bi Shan,Natural Scenery,4A,102.6054999,24.9491736,
Du Jiang Yan,Historical Site,5A,129.6186509,44.5400121,
Wu Xi Ying Shi Ji Di,Theme Park,5A,118.1791741,33.9581452,
Guang Zhou Zhang Long Lv You Du Jia Qu,Theme Park,5A,,,
Shang Hai Shi Ji Gong Yuan,Cheng Shi Gong Yuan,4A,121.3161526,30.7416559,
Ben Xi Shui Dong,Zi Ran Qi Guan,5A,119.4051914,36.8439594,
Yong He Gong,Religious Culture,4A,116.4110049,39.9455793,
Wen Chang Dong Jiao Ye Lin,Natural Scenery,3A,,,
He Gang Luo Bei Ming Shan Dao,Natural Scenery,4A,,,
Gui Gang Gui Ping Xi Shan,Natural Culture,4A,116.1247975,28.250831,
Da Jue Shan,Natural Scenery,5A,108.9365277,34.2633867,
Shang Hai Ye Sheng Dong Wu Yuan,Zoo,5A,121.7132324,31.0388737,
Bei Jing Dong Wu Yuan,Zoo,4A,120.1828876,35.9843011,
Tong Tian Yan,Natural Culture,4A,113.9643236,22.3963421,
Nan Luo Gu Xiang,Historical Culture,4A,116.3976888,39.9323094,
Nan Yue Heng Shan,Natural Culture,5A,114.0012031,22.2631202,
Hua Guo Shan,Natural Culture,5A,119.1801694,34.4129201,
Chong Sheng Si San Ta,Religious Culture,5A,119.2384252,36.6904729,
Qing Xi Ling,Historical Site,5A,107.4626732,29.7992404,
Mang Shan,Natural Scenery,4A,115.2196231,39.7878127,
Fang Cheng Gang Shi Wan Da Shan,Natural Scenery,4A,119.4051914,36.8439594,
Xian Nv Hu,Natural Scenery,4A,,,
Kuan Zhai Xiang Zi,Historical Culture,3A,104.0510185,30.6665316,
He Shun Gu Zhen,Ancient Town,4A,120.3177314,49.1787917,
Liu Ye Hu,Natural Scenery,4A,111.7351083,29.0864796,
Cha Gan Hu,Natural Scenery,4A,104.662042,38.378216,
Dan Dong Feng Huang Shan,Natural Scenery,4A,121.3890989,29.9738396,
Ming Yue Shan,Natural Scenery,5A,114.3125724,27.5853611,
Song Hua Hu,Natural Scenery,4A,126.3368681,46.4804636,
Jin Ji Hu,Urban Landscape,5A,116.384639,30.431674,
Po Yang Hu,Natural Scenery,4A,98.85208,25.85688,
Tong Li Gu Zhen,Ancient Town,5A,113.6471177,40.4126775,
Zhong Yang Da Jie,Historical Culture,4A,123.5395185,41.834324,
San Ya Ya Long Wan,Natural Scenery,4A,114.1146903,22.2285151,
Yan Bian Chao Xian Zu Min Su Yuan,Min Su Wen Hua,4A,,,
Wen Zhou Nan Xi Jiang,Natural Scenery,4A,113.4978407,27.6557601,
Long Hu Shan,Natural Culture,5A,116.7120999,23.3740077,
Qian Fo Shan,Natural Culture,4A,117.0401276,36.6412759,
Qing Cheng Shan,Religious Culture,5A,120.5750329,36.2628263,
Da Tong Huo Shan Qun,Zi Ran Qi Guan,4A,,,
Yu Long Xue Shan,Natural Scenery,5A,117.3537751,34.7935678,
Zheng Ding Long Xing Si,Religious Culture,4A,,,
Tian Tai Shan,Natural Culture,5A,116.6915771,34.9528516,
Sheng Suo Fei Ya Jiao Tang,Historical Architecture,4A,116.2822537,39.8085892,
Nan Ping He Ping Gu Zhen,Ancient Town,4A,113.3872542,40.7335143,
Ji Xi Xing Kai Hu,Natural Scenery,4A,115.9005974,28.768736,
Hui Zhou Xi Hu,Natural Scenery,4A,86.6870066,44.3478012,
Ji Gong Shan,Natural Scenery,4A,120.4059329,30.2296395,
Yun Nan Min Zu Cun,Theme Park,4A,102.8514383,26.0573228,
Dong Guan Ke Yuan,Historical Architecture,4A,117.167676,31.7867276,
Lu Shui He Guo Jia Sen Lin Gong Yuan,Natural Scenery,4A,,,
Hu Nan Sheng Bo Wu Guan,Wen Bo Yuan Guan,4A,120.1465083,30.225126,
Chen Jia Ci,Historical Architecture,4A,113.2401325,23.1298279,
Bai Ma Si,Religious Culture,4A,112.5981357,34.7243309,
Dong Lin Si,Religious Culture,4A,114.0592487,22.56808,
Zhao Yang Feng Huang Shan,Natural Culture,4A,103.6809374,27.2817292,
San Ming Tai Ning Da Jin Hu,Natural Scenery,5A,,,
Lu Gu Hu ( Yun Nan Bu Fen ),Natural Scenery,4A,,,
Feng Huang Gu Cheng,Ancient Town,4A,112.3576792,39.0937792,
Wei Zhou Dao,Natural Scenery,5A,109.1101668,21.0416149,
Jing De Zhen Gu Yao,Historical Culture,5A,111.4701314,40.7544778,
Shou Xian Gu Cheng,Historical Culture,4A,113.6241822,40.4864788,
Wu Yuan,Natural Scenery,5A,116.4745286,31.7401713,
Fu Zhou Gu Shan,Natural Scenery,4A,118.6012258,28.8499756,
Ning Bo Tian Yi Ge,Historical Architecture,4A,117.2173165,31.8203837,
Jin Shan Ling Chang Cheng,Historical Culture,4A,117.494011,40.7865868,
Shen Nong Jia,Natural Scenery,5A,110.681307,31.7426228,
Jin Shi Tan,Natural Scenery,5A,122.0010346,39.0854014,
Liao Yang Guang You Si,Religious Culture,4A,114.758388,22.6841649,
Li Shui Yun He Ti Tian,Natural Scenery,4A,,,
Qing Yuan Shan,Natural Culture,5A,110.4105362,25.3219859,
Qi Yun Shan,Natural Culture,4A,120.0755026,30.1368888,
Shang Hai Chen Shan Zhi Wu Yuan,Botanical Garden,4A,121.1754575,31.0715239,
Yan Cheng Dan Ding He Shi Di,Natural Scenery,4A,120.5048125,33.608442,
Jiu Zhai Gou,Natural Scenery,5A,116.1731166,39.9809,
Long Wan Qun Guo Jia Sen Lin Gong Yuan,Natural Scenery,4A,,,
Wei Hai Hua Xia Cheng,Theme Park,5A,117.2517335,31.785348,
San Fang Qi Xiang,Historical Culture,5A,119.2919836,26.0850946,
Chang Jia Zhuang Yuan,Historical Architecture,4A,114.689645,38.2803561,
Mao Shan,Religious Culture,5A,118.6824896,29.7159738,
Tian Tan Gong Yuan,Historical Culture,5A,114.077048,22.4976051,
Qi Kou Gu Zhen,Ancient Town,4A,106.4466489,29.5833399,
An Qing Zhen Feng Ta,Historical Architecture,4A,113.545249,22.1969527,
Yuan Ming Yuan Yi Zhi Gong Yuan,Historical Site,4A,129.4699945,42.9072782,
Liu Gong Dao,Revolutionary Site,5A,122.183439,37.5057084,
San He Gu Zhen,Ancient Town,5A,105.95,38.85,
Shen Zhen Hua Qiao Cheng,Theme Park,5A,113.8580342,22.653116,
Gao Ju Li Yi Zhi,Historical Site,5A,126.1785726,41.1210258,
Yan Di Ling,Historical Culture,5A,113.842812,26.382384,
Tai Xing Da Xia Gu,Natural Scenery,4A,113.6053816,35.9414803,
Ji Lin Bei Shan,Natural Culture,4A,108.0641068,34.2617412,
Kai Ping Diao Lou,Historical Architecture,5A,112.5617153,22.3537239,
Xiang Shan Gong Yuan,Natural Scenery,4A,114.1614152,22.2756563,
Jing Zhou Gu Cheng,Historical Culture,4A,126.8002244,45.7086718,
Tai Ji Dong,Zi Ran Qi Guan,4A,116.0712279,34.7902636,
Nan Chang Ba Yi Qi Yi Ji Nian Guan,Revolutionary Site,4A,117.2223187,31.7504489,
Heng Shui Hu,Natural Scenery,4A,115.6224123,37.6385601,
San Xia Ren Jia,Natural Culture,5A,114.0105255,22.4527305,
Zhong Shan Sun Zhong Shan Gu Ju,Revolutionary Site,5A,,,
Mu Lan Wen Hua Sheng Tai Lv You Qu,Natural Culture,5A,,,
Da Yan Ta,Historical Culture,5A,112.022,39.1554,
Lao Shan,Natural Scenery,5A,109.3889607,36.3582734,
Qian Dao Hu,Natural Scenery,5A,118.3731963,28.6694331,
Ping Yao Gu Cheng,Ancient Town,5A,112.1802114,37.2084023,
Sha Jia Bang,Revolutionary Site,5A,120.8430163,31.5472373,
Huang Long,Natural Scenery,5A,118.4157712,29.1581784,
Wei Man Huang Gong Bo Wu Yuan,Historical Culture,5A,125.3418854,43.9032769,
Hu Kou Pu Bu,Natural Scenery,4A,109.732227,21.609772,
Xu Zhou Yun Long Hu,Natural Scenery,5A,117.2502406,34.1843733,
Li Jiang Gu Cheng,Ancient Town,5A,100.2335849,26.879957,
Bai Yun Shan,Natural Scenery,5A,118.111191,24.6634841,
Huang Shi Guo Jia Kuang Shan Gong Yuan,Gong Ye Lv You,4A,,,
Teng Wang Ge,Historical Architecture,5A,115.8784289,28.6803568,
Gu Hui Zhou Wen Hua Lv You Qu,Historical Culture,5A,,,
Su Zhou Hu Qiu,Historical Culture,5A,120.5755139,31.3257095,
Ba Li Gou,Natural Scenery,4A,120.7668808,41.9066826,
Da Tang Fu Rong Yuan,Theme Park,5A,108.9657949,34.2229974,
Hang Zhou Song Cheng,Theme Park,4A,120.2087334,30.2937959,
Su Zhou Yuan Lin,Historical Culture,5A,119.5338743,32.25825,
Hu Tiao Xia,Natural Scenery,4A,100.1642759,27.2554875,
Jia Mu Si Tong Jiang San Jiang Kou,Natural Scenery,4A,,,
Wu Hou Ci,Historical Culture,4A,104.0446667,30.6493242,
Huang Cheng Xiang Fu,Historical Architecture,5A,114.0676264,22.5226617,
Ling Shan Da Fu,Religious Culture,5A,99.9811604,25.6605159,
Mang Dang Shan,Historical Culture,5A,113.5177896,34.9318012,
Dian Chi,Natural Scenery,4A,102.7190378,24.8466152,
Teng Chong Re Hai,Zi Ran Qi Guan,5A,98.4866145,25.0051161,
Shang Hai Huan Qiu Jin Rong Zhong Xin,Urban Landmark,4A,,,
Guang Fu Gu Cheng,Ancient Town,5A,114.4159193,30.4798219,
San Jiang Cheng Yang Ba Zhai,Min Su Wen Hua,4A,,,
Xi Shuang Ban Na Ye Xiang Gu,Natural Scenery,4A,100.8432611,22.175841,
Tao Hua Yuan,Natural Culture,4A,116.4785116,31.76446,
Chao Zhou Guang Ji Qiao,Historical Architecture,4A,116.5917914,23.6770173,
Dong Jiang Hu,Natural Scenery,5A,113.2534218,25.9529127,
Pu Tuo Shan,Religious Culture,5A,122.3604503,29.9350153,
Liu Zhou Long Tan Gong Yuan,Natural Scenery,4A,109.4087893,24.2835191,
Lang Fang Tian Xia Di Yi Cheng,Theme Park,4A,,,
Bao Tu Quan,Natural Scenery,4A,117.0094849,36.6605675,
Pu Da Cuo Guo Jia Gong Yuan,Natural Scenery,5A,99.9067185,27.8056734,
Fang Te Huan Le Shi Jie,Theme Park,5A,117.7332149,39.1535147,
Yu Lin Yun Tian Wen Hua Cheng,Theme Park,4A,,,
Shang Hai Zhang Feng Hai Yang Shi Jie,Shui Zu Guan,4A,,,
Hang Zhou Xi Hu,Natural Scenery,5A,120.2290839,30.1474891,
Bei Dai He,Natural Scenery,4A,119.0540389,39.6646933,
Lang Shan,Natural Scenery,5A,114.0452182,22.4419401,
Nan Ning Qing Xiu Shan,Natural Scenery,5A,108.3460083,22.7757717,
Luo Fu Shan,Natural Scenery,5A,114.0320873,23.2675245,
Nan Tong Lang Shan,Natural Culture,4A,114.1661798,22.2474116,
San Ya Da Xiao Dong Tian,Natural Culture,5A,,,
Shang Hai Zi Ran Bo Wu Guan,Wen Bo Yuan Guan,4A,121.4827264,31.2336057,
De Hang Da Xia Gu,Natural Scenery,4A,120.3394816,30.2928086,
Xi Di Hong Cun,Ancient Town,5A,117.9830813,30.0051838,
Qing Jiang Hua Lang,Natural Scenery,5A,111.3097256,30.7052876,
Yan Men Guan,Historical Culture,5A,112.5065815,22.1231744,
Zhong Guo Ke Ji Guan,Ke Pu Jiao Yu,4A,112.9949229,28.2290273,
Mei Zhou Dao,Natural Culture,5A,115.9301372,29.7126916,
Shu Nan Zhu Hai,Natural Scenery,4A,105.0157313,28.4849722,
Bei Jing Ye Sheng Dong Wu Yuan,Zoo,4A,116.3479125,40.0019476,
Ya Bu Li Hua Xue Chang,Sports & Leisure,4A,128.4542495,44.7752383,
Heng Dian Ying Shi Cheng,Theme Park,5A,112.5810932,26.922911,
Fu Xian Hu,Natural Scenery,4A,121.8021006,31.1514477,
Mo Gan Shan,Natural Scenery,4A,103.1938505,27.9760971,
Zhang Jia Jie Wu Ling Yuan,Natural Scenery,5A,110.4274678,29.3086674,
Chang Chun Dian Ying Zhi Pian Chang,Gong Ye Lv You,4A,125.2859978,43.8613036,
Wu Tai Shan,Religious Culture,5A,114.1113049,22.2229657,
Hong Dong Da Huai Shu,Historical Culture,5A,111.6693621,36.2538756,
Yi He Yuan,Historical Culture,5A,112.4569634,34.441075,
Bing Lang Gu,Min Su Wen Hua,5A,118.0684726,24.4477852,
E Zhou Liang Zi Hu,Natural Scenery,4A,119.9187403,30.1135705,
Wu Qiao Za Ji Da Shi Jie,Theme Park,4A,116.3800755,37.6398995,
Qiong Hai Bo Ao Ya Zhou Lun Tan,Theme Park,4A,,,
Shang Hai Hai Yang Shui Zu Guan,Shui Zu Guan,4A,,,
Qian Ling,Historical Site,4A,118.5075044,35.8879723,
Guo Jia Bo Wu Guan,Wen Bo Yuan Guan,4A,116.3177326,39.9418409,
Tai Hang Shan Da Xia Gu,Natural Scenery,5A,,,
De Zhou Tai Yang Gu,Theme Park,4A,,,
Xia Men Yuan Lin Zhi Wu Yuan,Botanical Garden,4A,103.0249667,35.7337251,
Shang Hai Di Shi Ni Le Yuan,Theme Park,5A,121.6620642,31.1379487,
Shang Hai Dong Wu Yuan,Zoo,4A,102.6334205,37.9572767,
Wu Da Lian Chi,Zi Ran Qi Guan,5A,114.1952934,22.3326825,
Jing Yue Tan,Natural Scenery,5A,125.4207774,43.8245708,
Tang Shan Nan Hu,Cheng Shi Gong Yuan,4A,112.9203649,28.1022047,
Ya Nuo Da Yu Lin,Natural Scenery,5A,119.1206593,43.4524601,
Huang He Feng Jing Qu,Natural Scenery,4A,115.3210611,22.9047002,
Jin Li,Historical Culture,3A,135.5427161,34.6656828,
Qin Zhou San Niang Wan,Natural Scenery,4A,,,
Tai Yang Dao,Natural Scenery,5A,116.1291575,30.9330593,
Zhou Shan Zhu Jia Jian,Natural Scenery,4A,,,
Tie Ling Long Shou Shan,Natural Scenery,4A,,,
Wu Zhen,Ancient Town,5A,109.794444,37.834722,
Long Ji Ti Tian,Natural Scenery,4A,79.0764734,34.3305558,
Hua Shan Mi Ku,Zi Ran Qi Guan,4A,117.263829,40.6719524,
Tian Men Shan,Natural Scenery,5A,110.4808814,29.0459839,
Xi Qiao Shan,Natural Culture,5A,112.9817066,22.9411591,
Tian Zhu Shan,Natural Scenery,5A,117.0555074,30.5855134,
Shang Hai Da Guan Yuan,Theme Park,4A,101.745717,36.6253882,
Zhong Nan Shan,Natural Culture,4A,90.9996486,28.2601619,
Tai Shan,Natural Culture,5A,114.0290738,22.3220395,
Gu Bei Shui Zhen,Ancient Town,4A,113.4123477,23.0256497,
Wu Zhi Zhou Dao,Natural Scenery,5A,118.6645655,31.1034406,
Jiu Hua Shan,Religious Culture,5A,115.8013207,29.4773222,
Jing Po Hu,Natural Scenery,5A,113.5171077,23.3248959,
Shao Xing Lu Xun Gu Li,Historical Culture,5A,,,
Long Men Shi Ku,Historical Culture,5A,112.4707112,34.5571154,
Yun Tai Shan,Natural Scenery,5A,115.9119049,28.6077589,
Qing Dao Pi Jiu Bo Wu Guan,Gong Ye Lv You,4A,,,
Bai Yang Dian,Natural Scenery,5A,110.0798763,33.7808869,
Long Ting Gong Yuan,Historical Culture,4A,114.372528,34.8477956,
Jing Gang Shan,Revolutionary Site,5A,113.9362703,22.2958885,
Pu Tian Jiu Li Hu,Natural Scenery,4A,,,
Tai Er Zhuang Gu Cheng,Ancient Town,5A,116.6808628,40.369673,
Liao Yuan Kuang Gong Mu,Revolutionary Site,4A,,,
Dong Hu,Natural Scenery,5A,112.6418698,29.3676956,
Tai Zhou Shen Xian Ju,Natural Scenery,5A,120.6103881,28.7390647,
Yin Xu,Historical Site,5A,114.3027921,36.1395296,
Cheng De Bi Shu Shan Zhuang,Historical Culture,5A,117.2081998,31.8048037,
Tian Ya Hai Jiao,Natural Scenery,4A,116.7410667,23.4747357,
He Zhou Huang Yao Gu Zhen,Ancient Town,4A,,,
Yuan Tou Zhu,Natural Scenery,5A,113.5487738,22.1952123,
Du Fu Cao Tang,Historical Culture,4A,104.0262287,30.6628531,
Zhang Jia Kou Da Jing Men,Historical Culture,4A,,,
Le Shan Da Fu,Religious Culture,5A,103.7693136,29.5469169,
Ning De Yuan Yang Xi,Natural Scenery,5A,112.5611865,37.7423539,
Wu Zhou Qi Lou Cheng,Historical Culture,4A,117.2779472,34.2839461,
Lang Ya Shan,Natural Culture,4A,115.1368476,39.0876045,
Xi Ling Xue Shan,Natural Scenery,4A,117.5557041,34.8727394,
Ba Li He,Natural Scenery,5A,118.1513646,31.8071315,
Xia Men Ceng Cuo An,Historical Culture,3A,,,
Dong Bei Hu Lin Yuan,Zoo,4A,114.6025113,30.5149849,
Peng Lai Ge,Historical Culture,5A,120.748865,37.826258,
Da Ming Hu,Natural Scenery,4A,113.7602051,27.6825335,
Jing De Zhen Tao Ci Bo Wu Guan,Wen Bo Yuan Guan,4A,,,
Tian Xia Di Yi Quan,Natural Scenery,5A,114.1126594,22.3797036,
Bai Shi Shan,Natural Scenery,4A,126.4183792,41.936895,
Si Ping Zhan Yi Ji Nian Guan,Revolutionary Site,4A,,,
798 Yi Shu Qu,Wen Hua Yi Shu,4A,100.4646742,24.2102427,
Mian Shan,Natural Culture,5A,106.6823531,33.1745038,
Hua Shan,Natural Scenery,5A,102.346864,24.54591,
Qiao Jia Da Yuan,Historical Architecture,5A,111.3870976,30.7087586,
Shen Zhen Shi Jie Zhi Chuang,Theme Park,5A,,,
Hai Kou Qi Lou Lao Jie,Historical Culture,3A,110.339709,20.0414173,
Shuang Ya Shan Qi Xing Feng,Natural Scenery,4A,,,
Xiao Lang Di,Shui Li Gong Cheng,4A,114.0263801,22.4438793,
Shang Hai Ying Shi Le Yuan,Theme Park,4A,,,
Zhao Qing Xing Hu,Natural Scenery,5A,113.9782711,22.4120102,
Fu Zi Miao Qin Huai Feng Guang Dai,Historical Culture,5A,,,
Yan Dang Shan,Natural Scenery,5A,121.027942,28.3935799,
Rui Jin Gong He Guo Yao Lan,Revolutionary Site,5A,,,
San Qing Shan,Natural Scenery,5A,114.3797804,30.6421206,
Huang Shan,Natural Scenery,5A,117.6990395,29.4601866,
Mao Ling,Historical Site,4A,114.3648686,22.4155795,
Zhao Zhou Qiao,Historical Architecture,4A,112.9063882,24.2056984,
Zhong Du Gou,Natural Scenery,4A,111.6605432,33.9285037,
Chang Sha Shi Jie Zhi Chuang,Theme Park,4A,,,
